,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
43,강동구,201912,2.857142857,0.735294118,0.0,0.0,3.409090909,11.11111111,0.0,0.0,2.941176471,4.761904762,6.25,5.594405594,0.0,0.0,2.798507463,9.090909091
44,강동구,202001,0.0,3.676470588,0.0,6.25,3.409090909,11.11111111,11.11111111,20.0,2.941176471,0.0,0.0,3.496503497,0.0,0.0,3.731343284,0.0
66,강북구,201902,0.0,0.613496933,0.0,3.333333333,1.265822785,12.5,0.0,0.0,5.882352941,0.0,0.0,0.0,0.0,0.0,1.463414634,0.0
67,강북구,201903,3.333333333,3.067484663,0.0,0.0,3.797468354,0.0,7.142857143,0.0,0.0,0.0,5.555555556,3.614457831,0.0,12.5,1.951219512,0.0
68,강북구,201904,0.0,1.840490798,0.0,3.333333333,0.0,0.0,0.0,0.0,5.882352941,7.407407407,5.555555556,1.807228916,0.0,0.0,1.707317073,0.0
69,강북구,201905,0.0,2.45398773,0.0,0.0,2.53164557,0.0,0.0,0.0,0.0,0.0,0.0,1.807228916,0.0,0.0,2.43902439,0.0
70,강북구,201906,3.333333333,1.226993865,0.0,10.0,0.0,12.5,0.0,0.0,11.76470588,0.0,5.555555556,1.807228916,0.0,0.0,1.707317073,0.0
71,강북구,201907,0.0,2.45398773,0.0,0.0,2.53164557,0.0,0.0,0.0,2.941176471,0.0,0.0,2.409638554,0.0,0.0,1.707317073,0.0
72,강북구,201908,0.0,2.45398773,0.0,0.0,1.265822785,0.0,7.142857143,0.0,5.882352941,0.0,5.555555556,1.807228916,0.0,0.0,2.195121951,0.0
73,강북구,201909,0.0,3.067484663,0.0,0.0,2.53164557,0.0,0.0,0.0,0.0,0.0,5.555555556,1.807228916,0.0,0.0,2.43902439,0.0
74,강북구,201910,6.666666667,2.45398773,0.0,3.333333333,0.0,0.0,21.42857143,0.0,2.941176471,0.0,5.555555556,4.819277108,0.0,12.5,3.170731707,0.0
75,강북구,201911,3.333333333,2.45398773,0.0,0.0,1.265822785,0.0,0.0,0.0,5.882352941,3.703703704,5.555555556,3.614457831,0.0,0.0,4.390243902,0.0
76,강북구,201912,0.0,3.680981595,0.0,3.333333333,0.0,0.0,0.0,0.0,2.941176471,0.0,0.0,2.409638554,0.0,0.0,1.951219512,0.0
77,강북구,202001,0.0,1.840490798,20.0,0.0,0.0,0.0,0.0,0.0,5.882352941,7.407407407,11.11111111,1.807228916,0.0,12.5,1.707317073,0.0
99,강서구,201902,3.731343284,5.263157895,0.0,0.0,3.296703297,0.0,0.0,7.142857143,1.834862385,3.96039604,2.222222222,1.183431953,0.0,22.22222222,2.005012531,0.0
100,강서구,201903,3.731343284,1.754385965,0.0,0.0,1.098901099,11.11111111,14.28571429,0.0,0.917431193,0.99009901,2.222222222,2.366863905,0.0,0.0,1.629072682,0.0
101,강서구,201904,1.492537313,1.754385965,25.0,0.0,3.296703297,0.0,0.0,7.142857143,1.834862385,1.98019802,0.0,3.550295858,0.0,0.0,1.754385965,0.0
102,강서구,201905,3.731343284,3.50877193,0.0,0.0,4.395604396,0.0,0.0,7.142857143,4.587155963,6.930693069,2.222222222,2.366863905,0.0,0.0,2.380952381,0.0
103,강서구,201906,2.985074627,7.01754386,0.0,0.0,0.0,11.11111111,0.0,0.0,0.917431193,1.98019802,0.0,3.550295858,0.0,0.0,1.629072682,0.0
104,강서구,201907,1.492537313,1.754385965,0.0,0.0,5.494505495,0.0,0.0,0.0,1.834862385,1.98019802,2.222222222,2.958579882,0.0,0.0,3.383458647,0.0
105,강서구,201908,2.985074627,1.754385965,0.0,0.0,4.395604396,0.0,0.0,7.142857143,2.752293578,2.97029703,0.0,2.958579882,0.0,0.0,2.255639098,9.090909091
106,강서구,201909,2.23880597,0.0,25.0,0.0,5.494505495,0.0,0.0,7.142857143,0.0,0.0,4.444444444,4.142011834,0.0,0.0,2.005012531,9.090909091
107,강서구,201910,2.985074627,1.754385965,0.0,0.0,5.494505495,0.0,0.0,0.0,2.752293578,2.97029703,4.444444444,3.550295858,0.0,0.0,4.385964912,0.0
108,강서구,201911,2.985074627,1.754385965,0.0,0.0,1.098901099,0.0,0.0,7.142857143,3.669724771,3.96039604,8.888888889,3.550295858,0.0,0.0,3.50877193,0.0
109,강서구,201912,5.223880597,0.0,25.0,0.0,5.494505495,0.0,0.0,0.0,3.669724771,6.930693069,2.222222222,6.50887574,0.0,0.0,4.511278195,0.0
110,강서구,202001,2.985074627,7.01754386,0.0,0.0,6.593406593,11.11111111,0.0,0.0,1.834862385,3.96039604,0.0,3.550295858,0.0,0.0,2.506265664,0.0
132,관악구,201902,1.709401709,2.739726027,0.0,0.0,0.699300699,18.18181818,7.407407407,6.666666667,1.785714286,2.127659574,0.0,2.242152466,0.0,14.28571429,2.456140351,0.0
133,관악구,201903,1.709401709,2.739726027,0.0,5.882352941,2.097902098,0.0,0.0,0.0,5.357142857,2.127659574,2.941176471,3.139013453,0.0,0.0,2.98245614,0.0
134,관악구,201904,2.564102564,0.0,0.0,0.0,2.797202797,0.0,7.407407407,6.666666667,5.357142857,2.127659574,0.0,4.035874439,0.0,0.0,2.631578947,25.0
135,관악구,201905,0.854700855,2.739726027,12.5,0.0,4.195804196,9.090909091,0.0,6.666666667,5.357142857,6.382978723,2.941176471,3.587443946,0.0,0.0,2.807017544,0.0
136,관악구,201906,1.709401709,1.369863014,0.0,0.0,2.097902098,0.0,7.407407407,0.0,1.785714286,0.0,2.941176471,3.587443946,0.0,0.0,2.105263158,0.0
137,관악구,201907,3.418803419,2.739726027,0.0,0.0,0.699300699,0.0,0.0,0.0,7.142857143,4.255319149,2.941176471,2.242152466,0.0,0.0,2.631578947,0.0
138,관악구,201908,1.709401709,1.369863014,0.0,0.0,2.097902098,0.0,11.11111111,6.666666667,1.785714286,2.127659574,2.941176471,2.242152466,0.0,14.28571429,3.684210526,0.0
139,관악구,201909,0.854700855,0.0,12.5,5.882352941,1.398601399,0.0,0.0,6.666666667,3.571428571,2.127659574,0.0,1.34529148,0.0,0.0,2.807017544,0.0
140,관악구,201910,3.418803419,4.109589041,0.0,0.0,4.195804196,0.0,7.407407407,0.0,1.785714286,2.127659574,5.882352941,1.793721973,0.0,0.0,2.456140351,0.0
141,관악구,201911,4.273504274,5.479452055,12.5,5.882352941,3.496503497,9.090909091,0.0,0.0,1.785714286,4.255319149,0.0,3.587443946,0.0,0.0,3.684210526,0.0
142,관악구,201912,2.564102564,2.739726027,12.5,11.76470588,2.097902098,0.0,3.703703704,0.0,7.142857143,2.127659574,8.823529412,3.587443946,0.0,14.28571429,2.98245614,8.333333333
143,관악구,202001,4.273504274,2.739726027,12.5,17.64705882,3.496503497,9.090909091,3.703703704,6.666666667,1.785714286,4.255319149,5.882352941,3.587443946,0.0,14.28571429,3.157894737,8.333333333
165,광진구,201902,6.944444444,2.0,0.0,0.0,4.464285714,0.0,0.0,0.0,0.0,12.5,4.255319149,5.952380952,0.0,0.0,3.768844221,0.0
166,광진구,201903,0.0,2.0,0.0,10.34482759,2.678571429,0.0,0.0,0.0,5.797101449,0.0,6.382978723,4.166666667,0.0,0.0,2.763819095,0.0
167,광진구,201904,2.777777778,4.0,0.0,6.896551724,3.571428571,0.0,0.0,0.0,4.347826087,0.0,8.510638298,2.976190476,0.0,0.0,5.025125628,0.0
168,광진구,201905,1.388888889,3.0,7.142857143,0.0,1.785714286,0.0,0.0,33.33333333,7.246376812,6.25,4.255319149,3.571428571,0.0,33.33333333,4.020100503,0.0
169,광진구,201906,4.166666667,0.0,0.0,3.448275862,4.464285714,0.0,0.0,0.0,2.898550725,6.25,6.382978723,1.785714286,0.0,0.0,2.010050251,0.0
170,광진구,201907,1.388888889,3.0,0.0,3.448275862,2.678571429,0.0,0.0,0.0,1.449275362,0.0,0.0,4.761904762,0.0,0.0,3.266331658,0.0
171,광진구,201908,2.777777778,1.0,0.0,0.0,3.571428571,0.0,0.0,0.0,1.449275362,0.0,4.255319149,2.380952381,0.0,0.0,3.266331658,0.0
172,광진구,201909,1.388888889,2.0,7.142857143,3.448275862,2.678571429,0.0,0.0,0.0,0.0,6.25,0.0,2.976190476,0.0,0.0,3.266331658,0.0
173,광진구,201910,4.166666667,3.0,7.142857143,0.0,4.464285714,0.0,0.0,0.0,1.449275362,0.0,4.255319149,4.761904762,0.0,33.33333333,3.51758794,0.0
174,광진구,201911,5.555555556,4.0,21.42857143,3.448275862,1.785714286,0.0,0.0,0.0,1.449275362,0.0,4.255319149,5.357142857,0.0,0.0,2.763819095,0.0
175,광진구,201912,1.388888889,2.0,0.0,13.79310345,1.785714286,20.0,0.0,0.0,4.347826087,0.0,6.382978723,5.357142857,50.0,0.0,2.261306533,0.0
176,광진구,202001,5.555555556,2.0,0.0,3.448275862,4.464285714,40.0,0.0,0.0,5.797101449,6.25,4.255319149,1.785714286,0.0,0.0,1.75879397,0.0
198,구로구,201902,0.0,1.503759398,20.0,0.0,0.892857143,0.0,0.0,0.0,2.564102564,0.0,4.301075269,0.408163265,0.0,7.692307692,1.265822785,0.0
199,구로구,201903,0.0,0.751879699,20.0,0.0,0.892857143,0.0,0.0,0.0,0.0,8.333333333,5.376344086,3.673469388,0.0,0.0,1.808318264,0.0
200,구로구,201904,0.0,2.255639098,0.0,0.0,0.892857143,0.0,0.0,0.0,0.0,0.0,3.225806452,3.265306122,0.0,0.0,2.169981917,10.0
201,구로구,201905,2.564102564,7.518796992,0.0,11.11111111,1.785714286,0.0,0.0,10.0,2.564102564,8.333333333,2.150537634,1.224489796,0.0,7.692307692,3.435804702,10.0
202,구로구,201906,0.0,0.0,20.0,0.0,5.357142857,0.0,0.0,0.0,2.564102564,0.0,0.0,3.673469388,0.0,15.38461538,3.254972875,0.0
203,구로구,201907,5.128205128,1.503759398,0.0,0.0,3.571428571,0.0,0.0,0.0,5.128205128,0.0,3.225806452,1.632653061,0.0,0.0,2.169981917,10.0
204,구로구,201908,2.564102564,0.751879699,0.0,0.0,0.892857143,0.0,0.0,0.0,10.25641026,0.0,6.451612903,2.448979592,0.0,0.0,2.169981917,0.0
205,구로구,201909,15.38461538,10.52631579,0.0,22.22222222,0.892857143,0.0,0.0,0.0,5.128205128,0.0,5.376344086,2.448979592,0.0,7.692307692,4.339963834,0.0
206,구로구,201910,0.0,3.759398496,0.0,0.0,4.464285714,0.0,0.0,10.0,10.25641026,8.333333333,1.075268817,2.857142857,0.0,0.0,2.893309222,0.0
207,구로구,201911,0.0,0.751879699,0.0,0.0,0.892857143,0.0,0.0,0.0,0.0,0.0,5.376344086,3.265306122,0.0,7.692307692,4.339963834,0.0
208,구로구,201912,10.25641026,3.007518797,0.0,0.0,1.785714286,0.0,0.0,10.0,0.0,0.0,2.150537634,1.632653061,0.0,0.0,2.893309222,10.0
209,구로구,202001,0.0,0.751879699,0.0,0.0,1.785714286,0.0,0.0,0.0,5.128205128,0.0,2.150537634,1.224489796,0.0,0.0,1.627486438,0.0
231,금천구,201902,12.0,5.172413793,0.0,8.333333333,0.0,0.0,6.25,0.0,4.545454545,8.0,0.0,2.127659574,0.0,0.0,5.479452055,28.57142857
232,금천구,201903,4.0,0.0,0.0,8.333333333,2.43902439,0.0,0.0,0.0,9.090909091,0.0,5.555555556,1.063829787,0.0,0.0,1.369863014,0.0
233,금천구,201904,0.0,0.0,0.0,0.0,7.317073171,0.0,3.125,0.0,0.0,4.0,5.555555556,5.319148936,0.0,0.0,2.739726027,0.0
234,금천구,201905,4.0,1.724137931,0.0,0.0,7.317073171,0.0,0.0,0.0,0.0,8.0,0.0,3.191489362,0.0,20.0,2.054794521,0.0
235,금천구,201906,4.0,1.724137931,0.0,0.0,2.43902439,0.0,3.125,0.0,0.0,4.0,2.777777778,2.127659574,0.0,0.0,3.082191781,0.0
236,금천구,201907,16.0,0.0,0.0,0.0,2.43902439,0.0,9.375,25.0,4.545454545,0.0,0.0,2.127659574,0.0,0.0,3.767123288,0.0
237,금천구,201908,8.0,5.172413793,0.0,8.333333333,2.43902439,0.0,6.25,0.0,0.0,4.0,0.0,3.191489362,0.0,0.0,3.424657534,14.28571429
