날짜,건수
2020-06-16,4477
2020-06-17,4491
2020-06-18,4567
2020-06-19,5735
2020-06-20,6654
2020-06-21,7113
2020-06-22,4586
2020-06-23,4405
2020-06-24,5105
2020-06-25,4982
2020-06-26,5518
2020-06-27,6319
2020-06-28,6774
2020-06-29,4691
2020-06-30,4801
2020-07-01,4371
2020-07-02,4278
2020-07-03,5299
2020-07-04,6333
2020-07-05,6476
2020-07-06,3894
2020-07-07,4225
2020-07-08,4277
2020-07-09,4530
2020-07-10,5447
2020-07-11,6326
2020-07-12,6822
2020-07-13,4934
2020-07-14,4092
2020-07-15,4095
2020-07-16,5455
2020-07-17,5179
2020-07-18,6369
2020-07-19,7042
2020-07-20,4418
2020-07-21,4070
2020-07-22,4886
2020-07-23,5405
2020-07-24,5245
2020-07-25,6077
2020-07-26,6613
2020-07-27,4337
2020-07-28,4275
2020-07-29,4628
2020-07-30,4421
2020-07-31,5630
2020-08-01,7078
2020-08-02,7327
2020-08-03,5105
2020-08-04,5087
2020-08-05,5031
2020-08-06,4809
2020-08-07,5179
2020-08-08,6836
2020-08-09,7641
2020-08-10,4770
2020-08-11,4534
2020-08-12,4632
2020-08-13,4773
2020-08-14,5443
2020-08-15,7289
2020-08-16,6659
2020-08-17,6226
2020-08-18,4715
2020-08-19,5226
2020-08-20,5815
2020-08-21,6638
2020-08-22,7534
2020-08-23,7650
2020-08-24,5150
2020-08-25,5700
2020-08-26,5593
2020-08-27,5691
2020-08-28,7063
2020-08-29,8621
2020-08-30,8279
2020-08-31,6464
2020-09-01,6066
2020-09-02,6737
2020-09-03,6172
2020-09-04,6907
2020-09-05,7960
2020-09-06,7657
2020-09-07,5975
2020-09-08,5343
2020-09-09,5506
2020-09-10,5456
2020-09-11,6840
2020-09-12,7356
2020-09-13,6805
2020-09-14,4463
2020-09-15,4234
2020-09-16,4727
2020-09-17,4597
2020-09-18,5379
2020-09-19,5920
2020-09-20,5955
2020-09-21,4074
2020-09-22,4560
2020-09-23,4406
2020-09-24,5370
2020-09-25,6176
2020-09-26,6178
2020-09-27,5761
2020-09-28,4363
2020-09-29,5398
2020-09-30,4420
2020-10-01,2957
2020-10-02,5485
2020-10-03,5749
2020-10-04,6173
2020-10-05,4236
2020-10-06,4459
2020-10-07,4402
2020-10-08,5137
2020-10-09,6240
2020-10-10,5919
2020-10-11,6107
2020-10-12,4154
2020-10-13,4041
2020-10-14,4292
2020-10-15,4512
2020-10-16,5181
2020-10-17,6167
2020-10-18,2482
2020-10-19,3929
2020-10-20,4144
2020-10-21,4394
2020-10-22,4365
2020-10-23,5323
2020-10-24,6300
2020-10-25,6359
2020-10-26,4008
2020-10-27,4003
2020-10-28,4570
2020-10-29,4540
2020-10-30,5222
2020-10-31,6482
2020-11-01,6879
2020-11-02,4172
2020-11-03,4292
2020-11-04,5799
2020-11-05,5849
2020-11-06,6999
2020-11-07,8349
2020-11-08,8526
2020-11-09,5697
2020-11-10,5544
2020-11-11,5622
2020-11-12,5746
2020-11-13,6828
2020-11-14,8412
2020-11-15,8650
2020-11-16,5847
2020-11-17,6328
2020-11-18,6718
2020-11-19,6899
2020-11-20,8092
2020-11-21,9217
2020-11-22,9151
2020-11-23,6138
2020-11-24,6931
2020-11-25,7210
2020-11-26,7597
2020-11-27,9233
2020-11-28,10520
2020-11-29,10119
2020-11-30,7297
2020-12-01,7312
2020-12-02,13760
2020-12-03,7559
2020-12-04,9319
2020-12-05,10248
2020-12-06,9351
2020-12-07,7129
2020-12-08,7314
2020-12-09,7568
2020-12-10,7729
2020-12-11,8930
2020-12-12,10025
2020-12-13,9779
2020-12-14,7437
2020-12-15,7789
2020-12-16,7768
2020-12-17,7924
2020-12-18,9475
2020-12-19,10157
2020-12-20,9390
2020-12-21,7253
2020-12-22,7441
2020-12-23,7710
2020-12-24,11066
2020-12-25,10559
2020-12-26,9080
2020-12-27,8748
2020-12-28,6813
2020-12-29,7390
2020-12-30,8203
2020-12-31,10863
2021-01-01,8645
2021-01-02,9529
2021-01-03,8970
2021-01-04,6304
2021-01-05,6724
2021-01-06,3680
2021-01-07,3675
2021-01-08,4020
2021-01-09,4400
2021-01-10,6694
2021-01-11,5357
2021-01-12,5745
2021-01-13,6337
2021-01-14,6442
2021-01-15,7746
2021-01-16,8908
2021-01-17,7319
2021-01-18,5206
2021-01-19,5508
2021-01-20,5794
2021-01-21,6474
2021-01-22,7299
2021-01-23,7911
2021-01-24,7385
2021-01-25,5758
2021-01-26,5994
2021-01-27,5718
2021-01-28,5661
2021-01-29,7426
2021-01-30,7629
2021-01-31,7273
2021-02-01,5146
2021-02-02,5575
2021-02-03,4703
2021-02-04,4557
2021-02-05,6874
2021-02-06,7687
2021-02-07,7385
2021-02-08,5450
2021-02-09,5940
2021-02-10,6600
2021-02-11,5099
2021-02-12,3718
2021-02-13,6271
2021-02-14,7050
2021-02-15,3725
2021-02-16,5063
2021-02-17,5888
2021-02-18,5471
2021-02-19,6526
2021-02-20,7294
2021-02-21,6619
2021-02-22,4961
2021-02-23,5101
2021-02-24,5329
2021-02-25,5556
2021-02-26,6124
2021-02-27,6891
2021-02-28,7196
2021-03-01,8369
2021-03-02,4829
2021-03-03,4826
2021-03-04,4936
2021-03-05,6062
2021-03-06,7367
2021-03-07,6990
2021-03-08,4676
2021-03-09,5402
2021-03-10,5569
2021-03-11,5523
2021-03-12,6771
2021-03-13,7656
2021-03-14,7686
2021-03-15,4944
