강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
경양식,145.83575103477622,11.341383195094474,3.407225811813101,17.243303005406283,10.695006557727705,7.494485591567568,2.3310082370736724,1.6922153580953327,4.14906580679728,2.7293676861475284,3.13458524437265,2.836826175561994,15.360451244731648,9.158280348646258,11.64459549889057,5.3002169829929935,4.05104314360948,13.56846557819237,1.9881950916433675,8.408205804682918,15.834556731874802,3.031925225144135,18.14936197438198,8.519721046872013,1.492238229438023
기타,95.67650509973824,30.546125405454447,22.645586188270002,7.3368563768101245,9.147045082267116,10.049423861420149,8.133191783702706,5.257149045816167,14.50539541903931,4.714362366982095,10.884510725858405,10.262635870415448,77.74654625919503,12.23735736241526,15.893001796217376,11.389463031415364,18.041273534911983,66.82060608537508,14.464119291705499,16.84158587824213,20.230834417483262,11.29865884682619,22.999140097032868,11.214120459221997,7.184061190294483
김밥(도시락),6.382731809214344,1.5121844260125965,0.49861841148484404,1.0143119414944872,0.5066055737871018,1.391021946919738,0.3547186447720806,0.0902514857650844,0.5553867615397935,0.5582797539847217,0.49999519235391965,0.10429507998389685,0.31476334517892723,0.2894858730893932,0.9685485859190646,0.29159769809346564,0.9185504802370331,1.5530171444918976,0.4224914569742156,0.6545309907837001,0.49731648027244985,0.14212149492863133,0.3171008772502504,0.37631276708798644,0.06395306697591528
까페,8.31689296352172,3.402414958528342,3.5318804146843124,0.37191437854797865,1.3790929508648881,3.860795607777232,0.6841002434890127,0.676886143238133,1.568150856112358,0.9304662566412029,0.6923010355669657,0.959514735851851,15.26602224117797,1.6579645458756158,4.204381361603212,1.0291683462122316,2.331705065217084,3.5964607556654475,1.5408511960236098,2.3915555432481352,2.1881925131987794,0.5447990638930867,1.6601163573689581,2.3481916666290354,1.1724728945584466
분식,60.15241189895942,25.026652250508473,10.886501984085763,11.867449715485499,13.678350492251749,9.737153628438167,9.34936999434984,4.783328745549474,11.401763516316937,5.210611037190737,5.288410688358766,5.715370383117547,13.314489501068621,9.079329655985514,9.57542351988166,2.847365757853841,5.34643484650786,22.314404234015164,5.840323081702392,15.029038519148807,5.55005191984054,6.442841103431287,14.045703562908152,9.513186751984298,6.373989008599556
뷔페식,3.6749061931840163,1.5877936473132261,0.29086074003282575,0.6085871648966924,0.3377370491914012,0.5961522629656021,0.8361225198199044,0.1128143572063555,0.4247075235304303,0.21710879321628068,0.21153642753435062,0.35460327194524927,0.3777160142147127,0.13158448776790602,0.6383615679921107,0.2229864750126502,0.28263091699601023,0.8991151889163619,0.19881950916433674,1.107667830557031,0.15914127368718398,0.213182242392947,0.3730598555885299,0.8278880875935701,0.14922382294380232
식육(숯불구이),3.481490077753278,2.4951043029207844,1.0803398915504956,0.845259951245406,1.8294090164534234,0.482599450972154,0.43072978293752645,1.7147782295366036,1.8295093321310842,3.6598339427887314,0.4423034393900059,1.0638098158357479,0.4091923487326054,0.26316897553581203,0.6603740358539076,0.5317369788763197,0.8714453274043648,1.3486727833745429,1.06865486175831,0.2517426887629616,0.8553843460686137,0.35530373732157833,0.07461197111770598,0.4365228098220643,0.3624007128635199
외국음식전문점(인도태국등),9.670805771536886,2.419495081620154,0.16620613716161467,1.2509847278432007,1.2946586885670381,1.2206927289295662,0.7601113816544585,0.3384430716190665,0.9800942850702238,0.31015541888040093,0.30768934914087365,0.396321303938808,3.493873131486092,0.8684576192681797,1.6509350896347692,0.8747930942803969,0.4474989519103495,1.9208369945031367,0.3976390183286735,1.3845847881962887,3.481215361907149,0.3789906531430169,2.1264411768546205,1.8665113247564127,0.25581226790366113
일식,57.83141851379057,14.365752047119667,4.944632580558038,10.785516977891382,6.529582951033757,8.033861448536445,3.800556908272292,1.759903972419146,5.913235519923683,3.7218650265648114,2.7692041422678626,2.8576851915587733,15.203069572142184,4.289654301233736,7.396189201563766,3.001741009785676,3.03828235770711,15.039744978237325,2.982292637465051,8.685122762322175,4.833916188248213,3.76621961560873,5.129573014342285,5.494166399484602,2.4302165450847806
정종/대포집/소주방,2.77229765450724,4.38533483543653,3.9889472918787523,13.828452802374843,3.9965550820982476,2.7252674878427516,0.5827520592684181,2.933173287365243,0.35936790452574874,0.5892952958727619,1.3269103181700177,2.96198027154267,1.1961007116799234,4.3159711987873175,1.0345859895044554,1.0806267635228433,2.1197318774700764,2.6973455667490858,0.9195402298850575,2.668472500887393,0.8752770052795118,1.4922756967506288,1.0072616100890308,0.8429405982770897,5.968952917752092
