,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
경양식,24.241486467319124,1.6634028686138562,1.0387883572600918,2.8062630381347478,2.336014590240525,1.2206927289295662,0.5827520592684181,0.24819158585398213,0.6533961900468158,0.34117096076844106,0.4423034393900059,0.6466294959001605,2.9272991101640233,2.0000842140721713,2.0471595111471137,1.0634739577526393,0.8478927509880306,2.5338700778552017,0.47219633426529983,0.931447948422958,2.625831015838535,0.40267756896445545,1.734728328486664,0.6773629807583756,0.29844764588760464
기타,21.791549005196444,6.275565367952275,4.819977977686826,1.2509847278432007,1.238369180368471,1.98717420988534,2.2043230067979294,1.0378920862984706,2.4829055221779,0.8684351728651227,1.4807549927404546,1.9816065196940398,17.374936653876784,2.894858730893932,3.654069665058289,2.0240310808840554,2.6143359822130945,13.323252344851545,3.479341410375893,2.16498712336147,3.680141954016129,2.0607616764651544,2.630071981899136,1.3396734508332315,0.8740252486708421
김밥(도시락),1.611800961922814,0.2268276639018895,0.16620613716161467,0.0,0.0844342622978503,0.22710562398689602,0.05067409211029723,0.0,0.09800942850702238,0.12406216755216039,0.038461168642609206,0.04171803199355874,0.18885800710735634,0.0789506926607436,0.19811221075617227,0.051458417310611584,0.11776288208167092,0.2860821055642969,0.14911463187325255,0.1762198821340731,0.039785318421795994,0.0,0.018652992779426496,0.09031506410111675,0.021317688991971756
까페,1.934161154307377,0.7560922130062983,0.9141337543888808,0.06762079609963248,0.22515803279426747,0.42582304497543005,0.1520222763308917,0.1805029715301688,0.19601885701404476,0.24812433510432078,0.019230584321304603,0.1877311439710143,3.6512548040755557,0.4737041559644617,0.8144613108864861,0.13722244616163087,0.5888144104083546,0.5721642111285938,0.24852438645542094,0.3524397642681462,0.3978531842179599,0.09474766328575422,0.24248890613254442,0.2859977029868697,0.04263537798394351
분식,8.57478111742937,3.629242622430232,2.783952797457046,1.5890887083413634,2.8426201640276267,1.902009600890254,2.128311868632484,0.451257428825422,1.3394621895959724,1.581792636290045,0.6346092826030519,0.8343606398711748,1.9515327401093487,1.5263800581077096,1.7389849610819568,0.6861122308081544,1.0598659387350382,3.0242965445368535,1.3420316868592732,1.8125473590933237,0.7559210500141238,1.065911211964735,0.9886086173096041,0.8278880875935701,0.8313898706868986
뷔페식,0.7736644617229508,0.30243688520251927,0.24930920574242202,0.1690519902490812,0.14072377049641718,0.056776405996724004,0.12668523027574308,0.1128143572063555,0.22868866651638553,0.062031083776080194,0.07692233728521841,0.04171803199355874,0.09442900355367817,0.05263379510716241,0.19811221075617227,0.03430561154040772,0.0,0.32695097778776794,0.09940975458216837,0.2769169576392578,0.019892659210897997,0.09474766328575422,0.13057094945598546,0.1806301282022335,0.021317688991971756
식육(숯불구이),0.12894407695382512,0.5292645491044088,0.37396380861363304,0.20286238829889747,0.39402655738996806,0.0,0.025337046055148613,0.38356881450160873,0.22868866651638553,0.4032020445445213,0.09615292160652301,0.22944917596457307,0.0,0.026316897553581204,0.15408727503257846,0.03430561154040772,0.02355257641633418,0.12260661667041298,0.27337682510096306,0.0,0.15914127368718398,0.023686915821438555,0.0,0.06021004273407783,0.0
일식,9.090557425244672,1.6634028686138562,0.6232730143560551,2.6710214459354833,0.844342622978503,1.1923045259312042,0.5574150132132696,0.31588020017779544,0.8494150470608606,0.46523312832060143,0.5576869453178335,0.3337442559484699,2.486630426913525,0.7895069266074362,1.166660796675237,0.6003482019571351,0.5417092575756862,2.3703945889613176,0.7207207207207208,0.931447948422958,0.45753116185065384,0.7816682221074722,0.5782427761622213,0.722520512808934,0.19185920092774583
정종/대포집/소주방,0.3223601923845628,1.0585290982088176,0.9141337543888808,1.9948134849391583,0.8724873770777865,0.28388202998362,0.1773593223860403,0.2707544572952532,0.032669809502340795,0.0930466256641203,0.2692281804982644,0.5006163839227048,0.4091923487326054,0.8684576192681797,0.3081745500651569,0.18868086347224247,0.23552576416334184,0.40868872223471,0.24852438645542094,0.1762198821340731,0.21881925131987795,0.3079299056787012,0.05595897833827949,0.07526255341759729,0.8313898706868986
중국식,4.061738424045491,1.6634028686138562,0.37396380861363304,1.0481223395443033,0.5910398360849521,0.624540465963964,1.3682004869780253,0.5866346574730487,0.5880565710421343,0.24812433510432078,0.3461505177834828,0.4171803199355874,1.03871903909046,0.5000210535180428,0.6823865037157046,0.2229864750126502,0.4239463754940153,1.22606616670413,0.5716060888474681,1.7873730902170273,0.2784972289525719,0.3789906531430169,0.27979489169139743,0.5870479166572589,0.2131768899197176
통닭(치킨),5.351179193583743,6.426783810553536,4.9030810462676335,3.381039804981624,3.7713970493039803,2.526550066854218,4.433983059651007,1.2860836721524527,3.136301712224716,2.7293676861475284,1.5384467457043682,1.5018491517681145,3.966018149254483,2.2895700871615645,1.7609974289437536,1.0634739577526393,2.331705065217084,3.637329627888918,2.8331780055917988,2.7439953075162813,0.7161357315923278,2.2502570030366624,0.27979489169139743,0.6924154914418951,1.7054151193577407
패밀리레스트랑,0.3223601923845628,0.07560922130062982,0.0,0.0,0.0,0.028388202998362002,0.025337046055148613,0.0,0.09800942850702238,0.062031083776080194,0.0,0.02085901599677937,0.09442900355367817,0.0,0.04402493572359384,0.03430561154040772,0.0,0.08173774444694198,0.024852438645542093,0.02517426887629616,0.0,0.0,0.0,0.06021004273407783,0.0
패스트푸드,2.25652134669194,0.30243688520251927,0.20775767145201834,0.2366727863487137,0.0844342622978503,0.028388202998362002,0.1773593223860403,0.0676886143238133,0.22868866651638553,0.031015541888040097,0.11538350592782762,0.02085901599677937,0.3462396796968199,0.05263379510716241,0.06603740358539076,0.051458417310611584,0.16486803491433927,0.08173774444694198,0.024852438645542093,0.10069707550518464,0.039785318421795994,0.04737383164287711,0.03730598555885299,0.0,0.08527075596788702
