지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
강북구,202003,0,3,0,0,4,0,0,0,0,0,1,5,0,0,9,1
강북구,202004,0,6,0,4,1,0,0,0,0,1,1,5,0,0,5,0
강북구,202005,0,1,0,0,1,0,1,0,0,1,0,1,0,1,4,0
강북구,202006,0,7,0,1,2,0,0,0,1,0,0,0,0,0,10,0
강북구,202007,0,0,0,0,1,0,1,0,0,0,1,3,0,1,10,0
강북구,202008,0,5,0,1,3,2,1,0,1,1,0,2,0,1,7,0
강북구,202009,0,3,1,0,1,0,2,0,0,0,0,4,0,0,9,0
강북구,202010,0,7,0,0,2,0,0,0,0,0,0,1,0,0,10,0
강북구,202011,1,5,1,1,4,0,0,0,2,0,1,5,0,1,13,0
강북구,202012,3,9,0,0,2,1,0,0,0,1,0,6,0,0,12,0
강북구,202101,0,6,0,0,3,0,0,0,0,0,0,3,0,0,7,1
강북구,202102,0,5,1,0,0,0,0,0,0,2,0,3,0,0,10,0
강북구,202103,1,4,1,0,4,2,1,0,1,1,0,4,0,0,12,0
강북구,202104,0,7,0,1,3,0,2,0,1,1,0,7,0,0,19,0
강북구,202105,14,27,0,14,31,1,1,0,4,12,2,49,0,1,106,3
강북구,202106,1,9,0,0,1,0,0,0,1,0,1,5,0,0,19,1
강북구,202107,2,3,0,0,1,0,0,0,2,0,0,0,0,0,14,1
강북구,202108,1,3,0,0,1,0,0,0,1,2,0,7,0,0,10,0
강북구,202109,2,5,0,0,0,0,0,0,1,0,2,3,0,0,7,1
강북구,202110,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0
강서구,201902,5,3,0,0,3,0,0,1,2,4,1,2,0,2,16,0
강서구,201903,5,1,0,0,1,1,1,0,1,1,1,4,0,0,13,0
강서구,201904,2,1,1,0,3,0,0,1,2,2,0,6,0,0,14,0
강서구,201905,5,2,0,0,4,0,0,1,5,7,1,4,0,0,19,0
강서구,201906,4,4,0,0,0,1,0,0,1,2,0,6,0,0,13,0
강서구,201907,2,1,0,0,5,0,0,0,2,2,1,5,0,0,27,0
강서구,201908,4,1,0,0,4,0,0,1,3,3,0,5,0,0,18,1
강서구,201909,3,0,1,0,5,0,0,1,0,0,2,7,0,0,16,1
강서구,201910,4,1,0,0,5,0,0,0,3,3,2,6,0,0,35,0
강서구,201911,4,1,0,0,1,0,0,1,4,4,4,6,0,0,28,0
강서구,201912,7,0,1,0,5,0,0,0,4,7,1,11,0,0,36,0
강서구,202001,4,4,0,0,6,1,0,0,2,4,0,6,0,0,20,0
강서구,202002,3,1,1,0,3,1,1,0,1,4,1,4,0,0,17,0
강서구,202003,4,2,0,0,3,0,1,0,4,6,4,3,0,0,19,0
강서구,202004,3,2,0,0,2,1,0,0,4,3,0,3,0,0,18,1
강서구,202005,3,0,0,0,0,0,0,0,9,0,0,5,0,0,14,1
강서구,202006,1,0,0,0,2,0,1,0,5,2,0,5,0,0,21,1
강서구,202007,3,2,0,0,2,0,0,0,5,4,4,2,0,0,22,0
강서구,202008,3,1,0,1,3,0,0,0,4,3,3,5,0,1,38,0
강서구,202009,4,3,0,0,2,0,0,0,2,3,3,5,0,0,27,0
강서구,202010,3,2,0,0,2,1,1,2,3,3,2,8,0,1,32,0
강서구,202011,5,2,0,0,2,1,0,2,4,4,2,7,0,2,20,1
강서구,202012,5,1,0,0,2,0,1,0,1,5,0,6,0,0,46,1
강서구,202101,4,3,0,0,1,0,0,1,1,0,0,2,0,1,29,0
강서구,202102,4,2,0,0,1,1,0,0,9,2,0,4,0,0,27,1
강서구,202103,4,1,0,0,3,0,0,1,5,5,1,2,0,0,27,0
강서구,202104,3,3,0,0,5,0,0,0,4,4,4,5,0,0,28,0
강서구,202105,6,2,0,0,5,0,1,0,3,7,2,11,0,0,34,0
강서구,202106,9,5,0,0,3,1,0,0,2,3,0,4,0,0,22,0
강서구,202107,7,1,0,1,1,0,0,1,4,1,3,5,0,0,28,0
강서구,202108,4,3,0,0,4,0,0,1,6,3,3,6,0,0,39,2
강서구,202109,6,2,0,0,3,0,0,0,4,0,0,8,0,2,33,1
강서구,202110,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
관악구,201902,2,2,0,0,1,2,2,1,1,1,0,5,0,1,14,0
관악구,201903,2,2,0,1,3,0,0,0,3,1,1,7,0,0,17,0
관악구,201904,3,0,0,0,4,0,2,1,3,1,0,9,0,0,15,3
관악구,201905,1,2,1,0,6,1,0,1,3,3,1,8,0,0,16,0
관악구,201906,2,1,0,0,3,0,2,0,1,0,1,8,0,0,12,0
관악구,201907,4,2,0,0,1,0,0,0,4,2,1,5,0,0,15,0
관악구,201908,2,1,0,0,3,0,3,1,1,1,1,5,0,1,21,0
관악구,201909,1,0,1,1,2,0,0,1,2,1,0,3,0,0,16,0
관악구,201910,4,3,0,0,6,0,2,0,1,1,2,4,0,0,14,0
관악구,201911,5,4,1,1,5,1,0,0,1,2,0,8,0,0,21,0
관악구,201912,3,2,1,2,3,0,1,0,4,1,3,8,0,1,17,1
관악구,202001,5,2,1,3,5,1,1,1,1,2,2,8,0,1,18,1
관악구,202002,1,8,0,1,4,2,0,0,2,1,1,16,0,0,13,1
관악구,202003,7,2,0,2,3,0,0,0,0,2,0,7,0,0,17,0
관악구,202004,4,2,1,0,3,0,1,1,2,0,0,14,0,0,9,0
관악구,202005,3,1,0,0,1,0,1,0,0,1,1,6,0,0,12,1
관악구,202006,3,0,0,1,1,0,1,0,0,2,0,5,0,1,13,0
관악구,202007,3,3,0,0,8,0,0,0,3,1,0,2,0,0,11,0
관악구,202008,5,3,0,0,8,1,2,1,0,7,2,9,0,0,10,2
관악구,202009,5,4,0,0,2,0,0,0,1,2,1,10,0,0,24,0
관악구,202010,1,3,0,1,7,0,2,1,1,3,1,8,0,0,23,0
관악구,202011,3,1,1,0,3,0,0,1,2,0,1,5,0,0,18,0
관악구,202012,5,0,0,0,5,1,0,0,1,1,0,2,0,0,24,0
