지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
강남구,202110,0.457317073,0,0,0,0,0,0,0,0.411522634,0,1.086956522,0.724637681,0,0,0.521221147,0
강동구,201902,0,2.205882353,12.5,0,5.681818182,0,0,20,0,4.761904762,0,2.097902098,0,0,1.679104478,0
강동구,201903,11.42857143,2.205882353,0,6.25,1.136363636,0,0,0,0,0,3.125,4.895104895,0,0,3.544776119,0
강동구,201904,2.857142857,1.470588235,0,6.25,2.272727273,11.11111111,0,0,8.823529412,9.523809524,3.125,4.195804196,0,14.28571429,4.291044776,18.18181818
강동구,201905,2.857142857,5.147058824,12.5,0,4.545454545,0,0,20,2.941176471,0,3.125,3.496503497,0,14.28571429,4.47761194,0
강동구,201906,2.857142857,1.470588235,0,0,4.545454545,0,0,0,2.941176471,9.523809524,3.125,1.398601399,0,0,4.104477612,0
강동구,201907,0,5.147058824,0,6.25,0,0,0,0,0,4.761904762,0,4.895104895,0,0,3.358208955,0
강동구,201908,5.714285714,2.205882353,25,6.25,0,22.22222222,0,0,0,0,0,2.097902098,0,0,2.23880597,0
강동구,201909,2.857142857,4.411764706,12.5,0,5.681818182,0,0,0,8.823529412,0,0,2.797202797,0,0,2.985074627,0
강동구,201910,2.857142857,3.676470588,0,0,4.545454545,0,0,0,0,0,3.125,1.398601399,0,14.28571429,4.104477612,0
강동구,201911,2.857142857,3.676470588,0,6.25,3.409090909,0,0,0,5.882352941,0,9.375,4.195804196,0,0,3.171641791,0
강동구,201912,2.857142857,0.735294118,0,0,3.409090909,11.11111111,0,0,2.941176471,4.761904762,6.25,5.594405594,0,0,2.798507463,9.090909091
강동구,202001,0,3.676470588,0,6.25,3.409090909,11.11111111,11.11111111,20,2.941176471,0,0,3.496503497,0,0,3.731343284,0
강동구,202002,2.857142857,5.882352941,0,0,6.818181818,0,11.11111111,0,0,0,0,0,0,0,1.492537313,27.27272727
강동구,202003,8.571428571,2.205882353,0,0,2.272727273,0,0,0,0,9.523809524,9.375,2.097902098,0,28.57142857,3.171641791,0
강동구,202004,0,5.147058824,0,12.5,0,22.22222222,11.11111111,0,8.823529412,14.28571429,3.125,2.097902098,0,0,2.052238806,0
강동구,202005,0,2.941176471,0,0,3.409090909,0,0,20,0,4.761904762,0,2.097902098,0,0,1.305970149,0
강동구,202006,5.714285714,1.470588235,0,0,2.272727273,0,0,0,5.882352941,0,3.125,2.097902098,0,0,1.865671642,9.090909091
강동구,202007,0,0.735294118,0,0,0,0,11.11111111,0,5.882352941,0,3.125,3.496503497,0,14.28571429,3.171641791,0
강동구,202008,2.857142857,2.205882353,0,0,2.272727273,0,0,0,5.882352941,4.761904762,6.25,4.195804196,0,0,3.544776119,9.090909091
강동구,202009,0,2.941176471,0,6.25,2.272727273,11.11111111,0,0,2.941176471,0,3.125,5.594405594,0,0,1.865671642,0
강동구,202010,0,2.205882353,12.5,6.25,2.272727273,0,0,0,2.941176471,9.523809524,0,0.699300699,0,0,4.47761194,9.090909091
강동구,202011,2.857142857,2.941176471,0,0,5.681818182,0,0,0,0,4.761904762,3.125,2.797202797,0,0,3.544776119,0
강동구,202012,2.857142857,2.205882353,0,6.25,3.409090909,0,0,0,0,0,9.375,4.195804196,0,0,2.425373134,0
강동구,202101,8.571428571,1.470588235,0,12.5,0,11.11111111,11.11111111,0,5.882352941,0,0,0.699300699,0,0,2.611940299,18.18181818
강동구,202102,0,2.205882353,0,0,2.272727273,0,0,0,0,0,6.25,2.097902098,0,0,2.798507463,0
강동구,202103,2.857142857,3.676470588,12.5,0,2.272727273,0,22.22222222,0,0,4.761904762,0,4.195804196,0,0,3.544776119,0
강동구,202104,2.857142857,5.882352941,0,0,3.409090909,0,0,0,0,0,3.125,2.797202797,100,0,4.47761194,0
강동구,202105,11.42857143,2.941176471,0,0,6.818181818,0,11.11111111,0,5.882352941,4.761904762,3.125,6.993006993,0,0,3.358208955,0
강동구,202106,5.714285714,6.617647059,0,0,3.409090909,0,0,0,2.941176471,0,3.125,4.895104895,0,0,3.544776119,0
강동구,202107,2.857142857,2.205882353,0,12.5,3.409090909,0,0,0,0,4.761904762,3.125,4.195804196,0,14.28571429,3.731343284,0
강동구,202108,0,3.676470588,12.5,6.25,6.818181818,0,11.11111111,0,11.76470588,4.761904762,3.125,0.699300699,0,0,3.171641791,0
강동구,202109,2.857142857,3.676470588,0,0,1.136363636,0,0,20,5.882352941,0,6.25,2.797202797,0,0,2.985074627,0
강동구,202110,0,0.735294118,0,0,1.136363636,0,0,0,0,0,0,0.699300699,0,0,0.373134328,0
강북구,201902,0,0.613496933,0,3.333333333,1.265822785,12.5,0,0,5.882352941,0,0,0,0,0,1.463414634,0
강북구,201903,3.333333333,3.067484663,0,0,3.797468354,0,7.142857143,0,0,0,5.555555556,3.614457831,0,12.5,1.951219512,0
강북구,201904,0,1.840490798,0,3.333333333,0,0,0,0,5.882352941,7.407407407,5.555555556,1.807228916,0,0,1.707317073,0
강북구,201905,0,2.45398773,0,0,2.53164557,0,0,0,0,0,0,1.807228916,0,0,2.43902439,0
강북구,201906,3.333333333,1.226993865,0,10,0,12.5,0,0,11.76470588,0,5.555555556,1.807228916,0,0,1.707317073,0
강북구,201907,0,2.45398773,0,0,2.53164557,0,0,0,2.941176471,0,0,2.409638554,0,0,1.707317073,0
강북구,201908,0,2.45398773,0,0,1.265822785,0,7.142857143,0,5.882352941,0,5.555555556,1.807228916,0,0,2.195121951,0
강북구,201909,0,3.067484663,0,0,2.53164557,0,0,0,0,0,5.555555556,1.807228916,0,0,2.43902439,0
강북구,201910,6.666666667,2.45398773,0,3.333333333,0,0,21.42857143,0,2.941176471,0,5.555555556,4.819277108,0,12.5,3.170731707,0
강북구,201911,3.333333333,2.45398773,0,0,1.265822785,0,0,0,5.882352941,3.703703704,5.555555556,3.614457831,0,0,4.390243902,0
강북구,201912,0,3.680981595,0,3.333333333,0,0,0,0,2.941176471,0,0,2.409638554,0,0,1.951219512,0
강북구,202001,0,1.840490798,20,0,0,0,0,0,5.882352941,7.407407407,11.11111111,1.807228916,0,12.5,1.707317073,0
강북구,202002,0,1.226993865,0,3.333333333,2.53164557,0,0,0,5.882352941,0,0,3.614457831,0,0,0.731707317,0
강북구,202003,0,1.840490798,0,0,5.063291139,0,0,0,0,0,5.555555556,3.012048193,0,0,2.195121951,12.5
강북구,202004,0,3.680981595,0,13.33333333,1.265822785,0,0,0,0,3.703703704,5.555555556,3.012048193,0,0,1.219512195,0
강북구,202005,0,0.613496933,0,0,1.265822785,0,7.142857143,0,0,3.703703704,0,0.602409639,0,12.5,0.975609756,0
강북구,202006,0,4.294478528,0,3.333333333,2.53164557,0,0,0,2.941176471,0,0,0,0,0,2.43902439,0
강북구,202007,0,0,0,0,1.265822785,0,7.142857143,0,0,0,5.555555556,1.807228916,0,12.5,2.43902439,0
강북구,202008,0,3.067484663,0,3.333333333,3.797468354,25,7.142857143,0,2.941176471,3.703703704,0,1.204819277,0,12.5,1.707317073,0
강북구,202009,0,1.840490798,20,0,1.265822785,0,14.28571429,0,0,0,0,2.409638554,0,0,2.195121951,0
강북구,202010,0,4.294478528,0,0,2.53164557,0,0,0,0,0,0,0.602409639,0,0,2.43902439,0
강북구,202011,3.333333333,3.067484663,20,3.333333333,5.063291139,0,0,0,5.882352941,0,5.555555556,3.012048193,0,12.5,3.170731707,0
강북구,202012,10,5.521472393,0,0,2.53164557,12.5,0,0,0,3.703703704,0,3.614457831,0,0,2.926829268,0
강북구,202101,0,3.680981595,0,0,3.797468354,0,0,0,0,0,0,1.807228916,0,0,1.707317073,12.5
강북구,202102,0,3.067484663,20,0,0,0,0,0,0,7.407407407,0,1.807228916,0,0,2.43902439,0
강북구,202103,3.333333333,2.45398773,20,0,5.063291139,25,7.142857143,0,2.941176471,3.703703704,0,2.409638554,0,0,2.926829268,0
강북구,202104,0,4.294478528,0,3.333333333,3.797468354,0,14.28571429,0,2.941176471,3.703703704,0,4.21686747,0,0,4.634146341,0
강북구,202105,46.66666667,16.56441718,0,46.66666667,39.24050633,12.5,7.142857143,0,11.76470588,44.44444444,11.11111111,29.51807229,0,12.5,25.85365854,37.5
강북구,202106,3.333333333,5.521472393,0,0,1.265822785,0,0,0,2.941176471,0,5.555555556,3.012048193,0,0,4.634146341,12.5
강북구,202107,6.666666667,1.840490798,0,0,1.265822785,0,0,0,5.882352941,0,0,0,0,0,3.414634146,12.5
강북구,202108,3.333333333,1.840490798,0,0,1.265822785,0,0,0,2.941176471,7.407407407,0,4.21686747,0,0,2.43902439,0
강북구,202109,6.666666667,3.067484663,0,0,0,0,0,0,2.941176471,0,11.11111111,1.807228916,0,0,1.707317073,12.5
강북구,202110,0,0.613496933,0,0,0,0,0,0,0,0,0,0.602409639,0,0,0.975609756,0
강서구,201902,3.731343284,5.263157895,0,0,3.296703297,0,0,7.142857143,1.834862385,3.96039604,2.222222222,1.183431953,0,22.22222222,2.005012531,0
강서구,201903,3.731343284,1.754385965,0,0,1.098901099,11.11111111,14.28571429,0,0.917431193,0.99009901,2.222222222,2.366863905,0,0,1.629072682,0
강서구,201904,1.492537313,1.754385965,25,0,3.296703297,0,0,7.142857143,1.834862385,1.98019802,0,3.550295858,0,0,1.754385965,0
강서구,201905,3.731343284,3.50877193,0,0,4.395604396,0,0,7.142857143,4.587155963,6.930693069,2.222222222,2.366863905,0,0,2.380952381,0
강서구,201906,2.985074627,7.01754386,0,0,0,11.11111111,0,0,0.917431193,1.98019802,0,3.550295858,0,0,1.629072682,0
강서구,201907,1.492537313,1.754385965,0,0,5.494505495,0,0,0,1.834862385,1.98019802,2.222222222,2.958579882,0,0,3.383458647,0
강서구,201908,2.985074627,1.754385965,0,0,4.395604396,0,0,7.142857143,2.752293578,2.97029703,0,2.958579882,0,0,2.255639098,9.090909091
강서구,201909,2.23880597,0,25,0,5.494505495,0,0,7.142857143,0,0,4.444444444,4.142011834,0,0,2.005012531,9.090909091
강서구,201910,2.985074627,1.754385965,0,0,5.494505495,0,0,0,2.752293578,2.97029703,4.444444444,3.550295858,0,0,4.385964912,0
강서구,201911,2.985074627,1.754385965,0,0,1.098901099,0,0,7.142857143,3.669724771,3.96039604,8.888888889,3.550295858,0,0,3.50877193,0
강서구,201912,5.223880597,0,25,0,5.494505495,0,0,0,3.669724771,6.930693069,2.222222222,6.50887574,0,0,4.511278195,0
강서구,202001,2.985074627,7.01754386,0,0,6.593406593,11.11111111,0,0,1.834862385,3.96039604,0,3.550295858,0,0,2.506265664,0
강서구,202002,2.23880597,1.754385965,25,0,3.296703297,11.11111111,14.28571429,0,0.917431193,3.96039604,2.222222222,2.366863905,0,0,2.130325815,0
강서구,202003,2.985074627,3.50877193,0,0,3.296703297,0,14.28571429,0,3.669724771,5.940594059,8.888888889,1.775147929,0,0,2.380952381,0
강서구,202004,2.23880597,3.50877193,0,0,2.197802198,11.11111111,0,0,3.669724771,2.97029703,0,1.775147929,0,0,2.255639098,9.090909091
강서구,202005,2.23880597,0,0,0,0,0,0,0,8.256880734,0,0,2.958579882,0,0,1.754385965,9.090909091
강서구,202006,0.746268657,0,0,0,2.197802198,0,14.28571429,0,4.587155963,1.98019802,0,2.958579882,0,0,2.631578947,9.090909091
강서구,202007,2.23880597,3.50877193,0,0,2.197802198,0,0,0,4.587155963,3.96039604,8.888888889,1.183431953,0,0,2.756892231,0
강서구,202008,2.23880597,1.754385965,0,50,3.296703297,0,0,0,3.669724771,2.97029703,6.666666667,2.958579882,0,11.11111111,4.761904762,0
강서구,202009,2.985074627,5.263157895,0,0,2.197802198,0,0,0,1.834862385,2.97029703,6.666666667,2.958579882,0,0,3.383458647,0
강서구,202010,2.23880597,3.50877193,0,0,2.197802198,11.11111111,14.28571429,14.28571429,2.752293578,2.97029703,4.444444444,4.733727811,0,11.11111111,4.010025063,0
강서구,202011,3.731343284,3.50877193,0,0,2.197802198,11.11111111,0,14.28571429,3.669724771,3.96039604,4.444444444,4.142011834,0,22.22222222,2.506265664,9.090909091
강서구,202012,3.731343284,1.754385965,0,0,2.197802198,0,14.28571429,0,0.917431193,4.95049505,0,3.550295858,0,0,5.764411028,9.090909091
강서구,202101,2.985074627,5.263157895,0,0,1.098901099,0,0,7.142857143,0.917431193,0,0,1.183431953,0,11.11111111,3.634085213,0
강서구,202102,2.985074627,3.50877193,0,0,1.098901099,11.11111111,0,0,8.256880734,1.98019802,0,2.366863905,0,0,3.383458647,9.090909091
강서구,202103,2.985074627,1.754385965,0,0,3.296703297,0,0,7.142857143,4.587155963,4.95049505,2.222222222,1.183431953,0,0,3.383458647,0
강서구,202104,2.23880597,5.263157895,0,0,5.494505495,0,0,0,3.669724771,3.96039604,8.888888889,2.958579882,0,0,3.50877193,0
